node	eigenvec
582	0.020897480608331236
364	0.03472231211939167
168	0.041040499336728015
472	0.04934866532688569
912	0.05984493034408333
2	0.051982257447603014
790	0.04126444627155834
322	0.01779728813334134
42	0.011617830296280355
402	0.006282817322138308
870	0.03923519126099113
337	0.018398850752325925
663	0.024668442933162317
362	0.06818013050226315
410	0.03998163834054988
565	0.027658515144091955
550	0.056671569114800056
987	0.07203359675309165
433	0.05056545972235823
343	0.04512595689067839
581	0.047604153082496395
135	0.09630435745990643
942	0.005493929560069575
978	0.0663601653856039
988	0.025960851701557385
421	0.02465420320090362
795	0.018757394870726952
547	0.03083890602431565
851	0.09069162917920831
469	0.048505613149543346
188	0.05207788709513829
614	0.03388062051736489
301	0.025088191449565096
954	0.023929428439643484
817	0.024689642938259558
167	0.04416060618678358
141	0.058144137301573064
552	0.02499694441913267
424	0.02623518369945169
35	0.02680292374128084
207	0.030056111010865284
569	0.07015156314305664
749	0.04808346045019947
174	0.003351126466879743
534	0.08287667913838707
844	0.05053756271054087
684	0.07088671707514778
31	0.034729292354239605
165	0.048322090083076426
429	0.028377008050549424
401	0.032195760144438174
862	0.04100189127907417
418	0.01394807179007774
969	0.03196970364159446
294	0.020462090758592025
885	0.02748568571897437
256	0.02383623169084114
648	0.03488502964211098
416	0.07623085760968787
313	0.023505909259952242
921	0.024840137755502496
1001	0.0259930294761506
159	0.09744703368066639
356	0.08743383424555816
700	0.05676947336440813
184	0.03425093243719694
947	0.017291734465164
774	0.011847552978601489
703	0.03884143577559625
771	0.0300478607364513
713	0.020416589192023753
291	0.021320641824481755
34	0.004363261190361487
955	0.020537351178036352
540	0.049322792578723865
67	0.021030332902428193
344	0.01736795227300963
544	0.04237732477004481
8	0.015527851660338916
143	0.020348295531780337
443	0.04728277636591473
742	0.09206576481629586
772	0.10623725111705801
609	0.07355617927922818
454	0.05309545974825426
482	0.031485831192442595
951	0.08116048722893167
415	0.07960453091428527
674	0.03470351005907737
112	0.05215350897527262
695	0.01449610655745462
187	0.014046397595677752
936	0.024353389328360352
293	0.058760722150651
599	0.017263963856866505
605	0.02925132532581267
267	0.06095125670073901
933	0.0063180612106393036
171	0.007384077064081522
590	0.012927548140436106
577	0.01455047718729389
686	0.017551052457648986
966	0.006086791958438767
541	0.030081354071143856
199	0.01894975826600369
75	0.08714687517133625
692	0.09431055938959004
214	0.09693736563096193
568	0.029437128674711568
495	0.003921353653142046
198	0.018665663964562366
488	0.009347919858370225
379	0.019959589018139684
428	0.06815909013123334
915	0.09733512944559554
629	0.09537670424111606
