node	pagerank
0	0.0001619732390573395
1	1.258828737348448e-05
32	8.138224773334514e-05
40027	5.611615565239341e-06
3024	0.0002002698494311855
39871	0.0005241706794298154
16250	0.0011628611161973105
2	9.67308008756429e-05
3	8.919286812489273e-06
66912	7.613309076331549e-06
90	0.0028035148625512474
75167	9.088746941538979e-06
4	7.66592004607308e-05
5	2.257716179249814e-05
11	0.00010026674221671191
68318	3.5015853327099155e-06
6	0.00021240419236060652
31	0.00010264077896961973
12	0.00013394366700863753
26	0.0002039649116600604
53	0.0002252791725607053
3840	6.145842822925137e-05
7	1.982509406070872e-05
63	7.679630527342942e-05
49	0.001357889644912044
404	0.0014891035876455768
29323	0.00012503521278765686
40252	0.002049672861167826
8	5.836637319396902e-06
68204	5.836637319396901e-06
37971	1.3178647361603667e-05
9	0.003603634245368209
10	2.537779162088457e-05
108	3.172755194416271e-05
66934	8.229449398785394e-06
66967	8.229449398785394e-06
351	2.31405231430882e-05
393	2.3633780612675417e-05
326	0.0003696656241481169
369	0.00014005761526605882
5462	4.0193672580802656e-05
9227	0.00028079249333593876
66949	5.055060448759119e-06
2789	9.425085515806197e-05
68929	1.5445735787502936e-05
73963	9.210425360527018e-06
117	3.6027965960624184e-05
66	3.569790421426211e-05
13	0.0001259698409317563
14	2.9461298608230564e-05
15	1.4697134553916569e-05
66914	2.1968509328961745e-05
66922	8.638625894905512e-06
97	4.8776277999721606e-05
155	0.003634036097346959
801	0.0012914948514071722
70420	2.0508778334723093e-05
71452	1.4995253001263528e-05
50439	5.543323596061886e-05
16	4.819423271549806e-06
1079	4.738760219213117e-05
802	0.00013689795010722602
38774	3.821445705514709e-05
17	4.290276714943408e-05
3050	1.3053921713553302e-05
111	2.3847536721885862e-05
324	0.0007234814262056521
445	0.0005816393102064563
67317	6.7705020928338465e-06
19349	4.1163666321509957e-05
18	5.1170227498904656e-05
19	8.360524892714547e-06
67483	5.609090177877198e-06
8185	1.8775703977788375e-05
20	4.4558773956895105e-06
178	1.4618316088675351e-05
348	0.0002522851784947808
46	9.619831193878698e-06
19625	7.1005950410939685e-06
21	4.863260536963467e-06
69	0.0006274252889519841
18106	1.581961424128127e-05
24036	1.0109813192771671e-05
22	0.00028238871967295004
23	1.0316088603498979e-05
48	1.2977567121327126e-05
24	8.067797632014817e-05
556	6.944572097786295e-05
25	0.00018082163854448498
8323	0.00014232257795716787
28	0.0003448273614244583
27	5.841898022813458e-05
35	2.3223607324574408e-05
65	0.00016365070393398973
9490	1.3478022342433846e-05
33353	4.84045828945469e-05
11110	0.0001330256647031198
29	3.1922971560036018e-06
13206	1.1290647828881904e-05
76304	2.9493806719779207e-06
633	0.0035053057969550525
30	0.00016180612118213276
74	1.104941002872727e-05
129	0.00018032065765897538
2378	7.034805275831266e-05
3909	8.296822918483042e-05
1826	0.00018034113644877414
76	0.00012846256368388167
75095	9.360997181645381e-06
39	0.0004594055784886076
88	0.00010792946639354235
120	0.0006097021540919295
380	0.0007338372596199897
33	4.639747019609888e-06
67011	4.639747019609888e-06
3751	0.000585256965471358
34	0.001877105595017857
4447	0.0011399301108512602
55268	1.7315722719219234e-05
60051	8.701556399818206e-06
36	0.00020299574707412837
37	7.4998325217008515e-06
28827	0.00011166811270641038
38	2.938821674203892e-06
66913	5.712410718484774e-06
104	0.0017092756077378044
1853	3.285347138231449e-05
67	2.2487251026684872e-05
226	9.416070197604896e-05
67036	1.979567974469009e-05
1172	5.3878436356573245e-05
17266	0.0003114039355591847
40	5.2220510161164986e-05
67264	6.812358790890603e-06
67289	6.812358790890603e-06
2115	4.5467308707316454e-05
893	0.0013817252916391131
10426	0.0022047082197107267
41	3.128034427513394e-05
42	5.943706534318722e-06
227	0.000239652470650124
43	0.0030463477032243334
54	3.035390737154646e-05
382	0.0005827358243307338
132	0.0003039621169651249
44	4.845777097948399e-06
299	1.1175718320580867e-05
